STNNO,STNNAME,LAT,LONG,ELEV,Elev (m),Start,End
28,Soledad,36.4475,-121.364167,170,51.408,1/4/1983,2/11/1987
29,Cantua Creek,36.516389,-120.314444,275,83.16,1/2/1983,7/23/1985
30,Nicolaus,38.8706,-121.546075,32,9.6768,1/3/1983,
31,McFarland/Kern Farms,35.702722,-119.153547,480,145.152,1/11/1983,3/8/1993
32,Colusa,39.226861,-122.0248,55,16.632,1/13/1983,
33,Visalia,36.301056,-119.224528,350,105.84,1/5/1983,3/1/2007
34,Rancho California,33.488611,-117.198611,1820,550.368,1/21/1983,11/25/1986
35,Bishop,37.358514,-118.405528,4170,1261.008,2/4/1983,
36,Blythe,33.654722,-114.558056,270,81.648,3/13/1983,8/12/1988
37,USDA Salinas,36.620556,-121.545278,120,36.288,4/11/1983,7/27/1992
38,Santa Maria,34.954444,-120.384167,270,81.648,5/3/1983,4/27/1999
39,Parlier,36.597444,-119.504036,337,101.9088,5/23/1983,
40,Mendota/MuriettaUSDA,36.683333,-120.387222,187,56.5488,6/14/1983,4/15/1992
41,Calipatria,33.042986,-115.415847,-110,-33.264,7/17/1983,
42,Lodi,38.109444,-121.346111,23,6.9552,10/16/1983,1/18/2001
43,McArthur,41.063767,-121.456019,3310,1000.944,10/31/1983,
44,Riverside,35.305444,-120.661781,1020,308.448,6/2/1985,
45,San Diego,32.786667,-117.135278,370,111.888,6/9/1985,4/27/1989
46,MacDoel,41.792222,-122.063611,4254,1286.4096,11/11/1985,6/11/1986
47,Brentwood,37.928258,-121.659897,45,13.608,11/18/1985,
48,Tulelake,42.003333,-121.426667,4042,1222.3008,2/3/1986,9/30/1993
49,Oceanside,33.255833,-117.319722,50,15.12,3/11/1986,10/29/2003
50,Thermal,33.646389,-116.241667,-30,-9.072,7/22/1986,1/11/1999
51,Healdsburg,38.661906,-122.869458,180,54.432,8/24/1986,3/28/1994
52,San Luis Obispo,35.305442,-120.661783,330,99.792,4/2/1986,
53,Greenfield,36.341111,-121.256944,270,81.648,10/10/1986,10/23/1991
